,Rank,Player Name,Nation,Position,Squad,Competition,Age,Born,Matches Played,Starts,Minutes,90s,Goals,Assist,G+A,G-PK,Penalty Kicks Scored,Penalty Kicks Taken,Yellow Card,Red Card,xG,npxG,xAG,npxG+xAG,Prog Carry,Prog Pass,Prog Pass Rec,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90,Tackles Done,Tackles Won,Def 3rd Tackle,Mid 3rd Tackle,Att 3rd Tackle,Dribblers Tackled,Drib Tackle Attempt,Drib Tack Won%,Drib Tack Lost,Blocks Total,Shots Block,Pass Block,Intercept,Tack + Intercept,Clearance,Errors to shot
196,197,Christoph Baumgartner,at AUT,"MF,DF",RB Leipzig,de Bundesliga,25-062,1999,5,1,106,1.2,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,0,9,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.26,0.26,0.26,2,2,1,1,0,2,6,33.3,4,3,1,2,0,2,1,0
197,198,Adrian Beck,de GER,FW,Heidenheim,de Bundesliga,27-115,1997,4,3,208,2.3,1,1,2,1,0,0,0,0,0.5,0.5,0.2,0.7,2,5,5,0.43,0.43,0.87,0.43,0.87,0.21,0.09,0.30,0.21,0.30,3,2,1,2,0,0,5,0.0,5,9,0,9,3,6,5,0
198,199,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,es La Liga,29-236,1995,7,5,436,4.8,0,0,0,0,0,0,0,0,0.8,0.8,0.4,1.2,19,10,44,0.00,0.00,0.00,0.00,0.00,0.16,0.08,0.24,0.16,0.24,1,1,0,1,0,0,2,0.0,2,2,0,2,0,1,7,0
199,200,Timo Becker,de GER,DF,Holstein Kiel,de Bundesliga,27-191,1997,5,5,450,5.0,0,0,0,0,0,0,0,0,0.8,0.8,0.0,0.9,4,7,10,0.00,0.00,0.00,0.00,0.00,0.17,0.01,0.17,0.17,0.17,9,5,6,3,0,5,7,71.4,2,6,5,1,3,12,11,0
200,201,Jan Bednarek,pl POL,DF,Southampton,eng Premier League,28-173,1996,6,6,530,5.9,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,18,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,7,3,5,2,0,3,6,50.0,3,11,9,2,10,17,26,1
201,202,Donny van de Beek,nl NED,"MF,FW",Girona,es La Liga,27-167,1997,4,0,121,1.3,0,1,1,0,0,0,0,0,0.1,0.1,0.9,1.0,1,5,11,0.00,0.74,0.74,0.00,0.74,0.05,0.70,0.74,0.05,0.74,1,1,1,0,0,0,1,0.0,1,4,0,4,0,1,3,0
202,203,Kevin Behrens,de GER,FW,Wolfsburg,de Bundesliga,33-242,1991,3,0,45,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0,0,6,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.91,0.91,0.91,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0
203,204,Maximilian Beier,de GER,"FW,MF",Dortmund,de Bundesliga,21-351,2002,4,1,138,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,1,2,9,0.00,0.00,0.00,0.00,0.00,0.09,0.10,0.19,0.09,0.19,2,1,0,1,1,1,3,33.3,2,1,0,1,0,2,2,0
204,205,Reda Belahyane,fr FRA,MF,Hellas Verona,it Serie A,20-123,2004,6,5,520,5.8,0,1,1,0,0,0,3,0,0.1,0.1,0.2,0.3,5,26,1,0.00,0.17,0.17,0.00,0.17,0.02,0.04,0.06,0.02,0.06,10,8,5,3,2,5,5,100.0,0,6,4,2,3,13,4,0
205,206,Haris Belkebla,dz ALG,MF,Angers,fr Ligue 1,30-248,1994,3,3,259,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,15,4,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,6,5,5,1,0,2,6,33.3,4,4,1,3,1,7,3,1
206,207,Yassin Belkhdim,fr FRA,MF,Angers,fr Ligue 1,22-231,2002,6,3,279,3.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.2,6,6,11,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.05,0.05,0.05,11,5,3,5,3,3,5,60.0,2,4,0,4,6,17,4,0
207,208,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,33-039,1991,3,1,164,1.8,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,3,4,1,0.00,0.00,0.00,0.00,0.00,0.20,0.01,0.21,0.20,0.21,4,2,3,1,0,0,2,0.0,2,1,1,0,5,9,12,0
