,Rank,Player Name,Nation,Position,Squad,Competition,Age,Born,Matches Played,Starts,Minutes,90s,Goals,Assist,G+A,G-PK,Penalty Kicks Scored,Penalty Kicks Taken,Yellow Card,Red Card,xG,npxG,xAG,npxG+xAG,Prog Carry,Prog Pass,Prog Pass Rec,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90,Tackles Done,Tackles Won,Def 3rd Tackle,Mid 3rd Tackle,Att 3rd Tackle,Dribblers Tackled,Drib Tackle Attempt,Drib Tack Won%,Drib Tack Lost,Blocks Total,Shots Block,Pass Block,Intercept,Tack + Intercept,Clearance,Errors to shot
325,326,Dominic Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,27-200,1997,6,6,503,5.6,2,1,3,2,0,0,1,0,1.8,1.8,0.2,2.0,4,7,33,0.36,0.18,0.54,0.36,0.54,0.32,0.04,0.36,0.32,0.36,3,2,1,1,1,0,0,,0,3,1,2,3,6,5,0
326,327,Drissa Camara,ci CIV,FW,Parma,it Serie A,22-227,2002,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0
327,328,Issiaga Camara,gn GUI,MF,Nice,fr Ligue 1,19-243,2005,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
328,329,Lamine Camara,sn SEN,MF,Monaco,fr Ligue 1,20-275,2004,5,4,337,3.7,2,1,3,2,0,0,3,1,0.6,0.6,0.7,1.4,6,17,6,0.53,0.27,0.80,0.53,0.80,0.17,0.20,0.37,0.17,0.37,17,12,7,8,2,7,13,53.8,6,3,0,3,7,24,1,0
329,330,Mahdi Camara,fr FRA,MF,Brest,fr Ligue 1,26-094,1998,6,5,456,5.1,2,0,2,2,0,0,1,0,0.6,0.6,0.2,0.8,10,20,15,0.39,0.00,0.39,0.39,0.39,0.11,0.04,0.15,0.11,0.15,14,6,1,9,4,5,8,62.5,3,8,0,8,9,23,7,0
330,331,Nicolò Cambiaghi,it ITA,FW,Bologna,it Serie A,23-279,2000,1,0,15,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,4,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.37,0.37,0.37,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0
331,332,Andrea Cambiaso,it ITA,"DF,FW",Juventus,it Serie A,24-225,2000,6,5,461,5.1,1,0,1,1,0,0,1,0,0.2,0.2,0.6,0.8,15,18,18,0.20,0.00,0.20,0.20,0.20,0.03,0.13,0.16,0.03,0.16,6,5,4,2,0,4,9,44.4,5,2,0,2,2,8,9,0
332,333,Axel Camblan,fr FRA,"MF,FW",Brest,fr Ligue 1,21-033,2003,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,1,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17,1,1,0,0,1,1,2,50.0,1,1,0,1,0,1,0,0
333,334,Sergio Camello,es ESP,FW,Rayo Vallecano,es La Liga,23-235,2001,8,5,423,4.7,2,0,2,2,0,0,1,0,1.9,1.9,0.3,2.1,9,5,25,0.43,0.00,0.43,0.43,0.43,0.40,0.06,0.46,0.40,0.46,3,0,1,2,0,0,0,,0,4,1,3,3,6,8,0
334,335,José Campaña,es ESP,MF,Las Palmas,es La Liga,31-124,1993,3,3,188,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,2,2,1,1,0,2,4,50.0,2,2,0,2,7,9,4,0
335,336,Emre Can,de GER,"MF,DF",Dortmund,de Bundesliga,30-264,1994,5,3,291,3.2,2,0,2,0,2,2,1,0,1.7,0.1,0.0,0.1,6,20,6,0.62,0.00,0.62,0.00,0.00,0.53,0.00,0.53,0.04,0.04,4,1,2,2,0,2,5,40.0,3,3,1,2,2,6,7,1
336,337,Peio Canales,es ESP,MF,Athletic Club,es La Liga,19-259,2005,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,1,1,0,0,1,0,0,,0,0,0,0,1,2,1,0
337,338,Matteo Cancellieri,it ITA,"FW,MF",Parma,it Serie A,22-233,2002,5,1,156,1.7,1,0,1,1,0,0,0,1,0.8,0.8,0.0,0.8,7,4,13,0.58,0.00,0.58,0.58,0.58,0.47,0.01,0.48,0.47,0.48,4,3,4,0,0,1,2,50.0,1,1,0,1,1,5,4,0
338,339,Antonio Candela,it ITA,DF,Venezia,it Serie A,24-158,2000,5,5,439,4.9,0,1,1,0,0,0,1,0,0.2,0.2,0.3,0.5,3,4,7,0.00,0.21,0.21,0.00,0.21,0.03,0.06,0.09,0.03,0.09,7,5,3,3,1,5,7,71.4,2,3,2,1,2,9,7,0
339,340,Sergi Canós,es ESP,"MF,FW",Valencia,es La Liga,27-243,1997,5,0,68,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,3,2,17,0.00,0.00,0.00,0.00,0.00,0.26,0.03,0.29,0.26,0.29,3,3,0,2,1,1,3,33.3,2,1,0,1,1,4,1,0
340,341,Jaydee Canvot,fr FRA,DF,Toulouse,fr Ligue 1,18-065,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
341,342,Pierrick Capelle,fr FRA,MF,Angers,fr Ligue 1,37-170,1987,4,2,183,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,7,6,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,6,3,3,2,1,3,6,50.0,3,1,1,0,3,9,0,1
342,343,Gianluca Caprari,it ITA,MF,Monza,it Serie A,31-064,1993,6,2,202,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,5,5,16,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,2,1,0,2,0,0,0,,0,2,0,2,1,3,0,0
343,344,Elia Caprile,it ITA,GK,Napoli,it Serie A,23-038,2001,2,1,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
344,345,Francesco Caputo,it ITA,FW,Empoli,it Serie A,37-057,1987,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
345,346,Maxence Caqueret,fr FRA,MF,Lyon,fr Ligue 1,24-230,2000,6,5,458,5.1,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,12,39,12,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12,0.06,0.12,17,8,5,9,3,3,17,17.6,14,11,2,9,6,23,1,0
346,347,Andrea Carboni,it ITA,DF,Monza,it Serie A,23-241,2001,4,4,348,3.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,7,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,10,5,7,3,0,5,10,50.0,5,5,1,4,4,14,15,0
347,348,Franco Carboni,it ITA,DF,Venezia,it Serie A,21-181,2003,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
348,349,Valentin Carboni,ar ARG,"MF,FW",Marseille,fr Ligue 1,19-211,2005,3,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,4,4,4,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,2,2,0,1,1,0,1,0.0,1,1,0,1,1,3,1,0
349,350,Cárdenas,es ESP,GK,Rayo Vallecano,es La Liga,27-188,1997,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0
350,351,Irvin Cardona,fr FRA,"MF,FW",Espanyol,es La Liga,27-055,1997,7,1,228,2.5,0,0,0,0,0,0,1,0,0.7,0.7,0.3,1.0,5,7,15,0.00,0.00,0.00,0.00,0.00,0.26,0.13,0.39,0.26,0.39,4,3,2,2,0,3,9,33.3,6,4,1,3,3,7,5,0
351,352,Marc Cardona,es ESP,FW,Las Palmas,es La Liga,29-086,1995,2,0,18,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.53,0.53,0.53,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
352,353,Sergi Cardona,es ESP,DF,Villarreal,es La Liga,25-086,1999,8,8,711,7.9,1,1,2,1,0,0,2,0,1.3,1.3,1.3,2.7,11,19,45,0.13,0.13,0.25,0.13,0.25,0.17,0.17,0.34,0.17,0.34,19,12,12,6,1,11,22,50.0,11,17,2,15,8,27,29,0
353,354,Johnny Cardoso,us USA,MF,Betis,es La Liga,23-012,2001,4,1,150,1.7,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,1,9,6,0.00,0.00,0.00,0.00,0.00,0.28,0.02,0.30,0.28,0.30,6,4,2,4,0,3,6,50.0,3,3,1,2,3,9,2,0
354,355,Diego Carlos,br BRA,DF,Aston Villa,eng Premier League,31-201,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,1,0,0,0,1,0.0,1,3,2,1,1,2,5,1
355,356,Carmona,es ESP,DF,Sevilla,es La Liga,22-247,2002,8,8,700,7.8,0,0,0,0,0,0,2,0,0.1,0.1,0.8,0.9,6,27,5,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.12,0.02,0.12,22,16,13,8,1,11,15,73.3,4,7,3,4,16,38,13,0
356,357,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,24-093,2000,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,1
357,358,Sergio Carreira,es ESP,"MF,DF",Celta Vigo,es La Liga,23-355,2000,4,3,237,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.8,0.8,6,8,23,0.00,0.00,0.00,0.00,0.00,0.01,0.31,0.32,0.01,0.32,6,4,3,2,1,2,4,50.0,2,2,0,2,1,7,9,0
358,359,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,32-265,1992,7,6,519,5.8,1,0,1,1,0,0,1,0,1.3,1.3,0.1,1.4,9,24,35,0.17,0.00,0.17,0.17,0.17,0.23,0.02,0.25,0.23,0.25,8,5,4,2,2,6,9,66.7,3,8,3,5,8,16,18,1
359,360,Fabio Carvalho,pt POR,"FW,MF",Brentford,eng Premier League,22-033,2002,6,2,230,2.6,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,5,7,6,0.00,0.39,0.39,0.00,0.39,0.04,0.21,0.25,0.04,0.25,9,6,3,2,4,3,5,60.0,2,5,1,4,2,11,1,0
360,361,William Carvalho,pt POR,MF,Betis,es La Liga,32-178,1992,4,4,247,2.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,1,20,2,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,3,2,0,3,0,2,4,50.0,2,4,1,3,3,6,4,0
361,362,Marc Casado,es ESP,MF,Barcelona,es La Liga,21-018,2003,6,4,383,4.3,0,1,1,0,0,0,0,0,0.8,0.8,0.4,1.2,4,37,8,0.00,0.23,0.23,0.00,0.23,0.18,0.09,0.27,0.18,0.27,10,6,1,6,3,6,10,60.0,4,3,1,2,1,11,5,0
362,363,Nicolò Casale,it ITA,DF,Bologna,it Serie A,26-231,1998,3,2,161,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,1,1,1,0,1,2,50.0,1,4,3,1,1,3,3,1
363,364,Nicolò Casale,it ITA,DF,Lazio,it Serie A,26-231,1998,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,5,3,4,1,0,0,0,,0,4,3,1,1,6,2,0
364,365,Casemiro,br BRA,MF,Manchester Utd,eng Premier League,32-222,1992,5,3,274,3.0,0,0,0,0,0,0,0,0,0.4,0.4,1.2,1.6,1,15,4,0.00,0.00,0.00,0.00,0.00,0.14,0.40,0.54,0.14,0.54,13,9,6,4,3,6,10,60.0,4,8,2,6,1,14,6,2
365,366,Matty Cash,pl POL,DF,Aston Villa,eng Premier League,27-056,1997,2,2,96,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,3,1,0,3,0,0,2,0.0,2,1,0,1,1,4,6,0
366,367,Josué Casimir,fr FRA,"FW,DF",Le Havre,fr Ligue 1,23-008,2001,6,5,406,4.5,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8,13,12,22,0.00,0.00,0.00,0.00,0.00,0.14,0.04,0.19,0.14,0.19,7,4,2,3,2,1,4,25.0,3,2,0,2,1,8,7,0
367,368,Federico Cassa,it ITA,"MF,FW",Atalanta,it Serie A,18-244,2006,2,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
368,369,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,fr Ligue 1,24-256,2000,6,5,427,4.7,0,1,1,0,0,0,3,0,0.2,0.2,0.2,0.4,3,29,4,0.00,0.21,0.21,0.00,0.21,0.05,0.04,0.09,0.05,0.09,25,16,14,9,2,8,14,57.1,6,6,1,5,5,30,6,0
369,370,Valentín Castellanos,ar ARG,FW,Lazio,it Serie A,25-365,1998,5,5,415,4.6,3,0,3,3,0,0,1,0,2.5,2.5,0.4,2.9,8,8,23,0.65,0.00,0.65,0.65,0.65,0.54,0.10,0.63,0.54,0.63,4,2,0,1,3,1,4,25.0,3,4,1,3,0,4,2,0
370,371,Jean-Charles Castelletto,cm CMR,DF,Nantes,fr Ligue 1,29-250,1995,5,5,450,5.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0,14,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,2,1,2,0,0,1,3,33.3,2,5,4,1,0,2,36,0
371,372,Santiago Castro,ar ARG,FW,Bologna,it Serie A,20-003,2004,6,5,448,5.0,3,1,4,3,0,0,1,0,1.6,1.6,0.4,2.0,2,5,29,0.60,0.20,0.80,0.60,0.80,0.32,0.09,0.41,0.32,0.41,3,2,0,3,0,0,2,0.0,2,3,0,3,1,4,7,0
372,373,Gaetano Castrovilli,it ITA,MF,Lazio,it Serie A,27-228,1997,3,1,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.7,0.7,4,7,4,0.00,0.00,0.00,0.00,0.00,0.02,0.73,0.75,0.02,0.75,3,1,2,0,1,0,1,0.0,1,1,0,1,2,5,0,0
373,374,Danilo Cataldi,it ITA,MF,Fiorentina,it Serie A,30-057,1994,4,4,293,3.3,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,6,8,2,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,7,6,1,4,2,3,4,75.0,1,3,2,1,2,9,5,0
374,375,Catena,es ESP,DF,Osasuna,es La Liga,29-340,1994,7,7,630,7.0,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,3,15,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,7,2,3,4,0,4,9,44.4,5,6,2,4,6,13,48,0
375,376,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,28-056,1996,2,1,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,3,1,3,0,1,3,33.3,2,1,0,1,0,4,0,0
376,377,Zeki Çelik,tr TUR,DF,Roma,it Serie A,27-228,1997,6,5,434,4.8,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,4,16,14,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,13,9,4,6,3,7,11,63.6,4,3,2,1,2,15,11,0
377,378,Alberto Cerri,it ITA,FW,Como,it Serie A,28-169,1996,2,0,61,0.7,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,0,0,5,0.00,0.00,0.00,0.00,0.00,1.01,0.00,1.01,1.01,1.01,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
378,379,Julian Chabot,de GER,DF,Stuttgart,de Bundesliga,26-233,1998,5,5,429,4.8,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,1,18,1,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.06,0.05,0.06,8,6,7,1,0,4,5,80.0,1,3,1,2,9,17,25,0
379,380,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,de Bundesliga,19-139,2005,3,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,3,1,4,0,3,4,75.0,1,1,1,0,3,8,5,1
380,381,Fares Chaïbi,dz ALG,"FW,MF",Eint Frankfurt,de Bundesliga,21-309,2002,5,3,282,3.1,0,0,0,0,0,0,1,0,1.8,1.8,0.5,2.2,10,15,22,0.00,0.00,0.00,0.00,0.00,0.56,0.14,0.70,0.56,0.70,4,2,2,0,2,2,4,50.0,2,5,0,5,3,7,7,0
381,382,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,eng Premier League,27-229,1997,5,1,93,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,3,3,0,0,1,3,33.3,2,2,0,2,0,3,1,0
382,383,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,29-285,1994,5,5,450,5.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,4,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,12,9,5,5,2,8,13,61.5,5,4,3,1,3,15,23,1
383,384,Gabriel Charpentier,cg CGO,FW,Parma,it Serie A,25-138,1999,2,0,39,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,4,0
384,385,Raúl Chasco,es ESP,DF,Valladolid,es La Liga,21-019,2003,1,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,0,0,0,1,0.0,1,1,0,1,1,2,2,0
385,386,Anrie Chase,jp JPN,DF,Stuttgart,de Bundesliga,20-192,2004,4,2,227,2.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,8,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,2,0,0,2,0,0,0,,0,5,3,2,5,7,10,0
386,387,Pep Chavarría,es ESP,"DF,MF",Rayo Vallecano,es La Liga,26-175,1998,6,3,307,3.4,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.1,10,15,16,0.00,0.29,0.29,0.00,0.29,0.00,0.02,0.02,0.00,0.02,5,5,3,2,0,2,7,28.6,5,5,1,4,5,10,10,0
387,388,Jhoanner Chávez,ec ECU,DF,Lens,fr Ligue 1,22-160,2002,4,4,302,3.4,1,0,1,1,0,0,0,0,0.1,0.1,0.3,0.4,6,2,18,0.30,0.00,0.30,0.30,0.30,0.03,0.08,0.12,0.03,0.12,3,1,1,1,1,1,3,33.3,2,6,1,5,4,7,6,0
388,389,Walid Cheddira,ma MAR,FW,Napoli,it Serie A,26-254,1998,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.20,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
389,390,Walid Cheddira,ma MAR,FW,Espanyol,es La Liga,26-254,1998,6,2,212,2.4,0,1,1,0,0,0,1,0,0.1,0.1,0.6,0.7,2,3,13,0.00,0.42,0.42,0.00,0.42,0.05,0.26,0.31,0.05,0.31,0,0,0,0,0,0,0,,0,1,0,1,1,1,2,0
390,391,Théo Chennahi,fr FRA,DF,Montpellier,fr Ligue 1,19-239,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
391,392,Sidiki Cherif,fr FRA,FW,Angers,fr Ligue 1,17-292,2006,5,3,282,3.1,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,8,2,14,0.00,0.00,0.00,0.00,0.00,0.14,0.06,0.19,0.14,0.19,4,4,0,3,1,3,4,75.0,1,2,0,2,0,4,0,1
392,393,Rayan Cherki,fr FRA,MF,Lyon,fr Ligue 1,21-046,2003,2,0,46,0.5,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,2,2,4,1.96,0.00,1.96,1.96,1.96,0.42,0.00,0.42,0.42,0.42,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
393,394,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,22-331,2001,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
394,395,Fabio Chiarodia,it ITA,DF,Gladbach,de Bundesliga,19-119,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
395,396,Julián Chicco,ar ARG,MF,Leganés,es La Liga,26-263,1998,3,1,112,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,7,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,4,0,6,0,3,5,60.0,2,0,0,0,2,8,1,0
396,397,Leandro Chichizola,ar ARG,GK,Parma,it Serie A,34-189,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
397,398,Federico Chiesa,it ITA,FW,Liverpool,eng Premier League,26-343,1997,1,0,19,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,0,2,0.00,0.00,0.00,0.00,0.00,0.76,0.00,0.76,0.76,0.76,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
398,399,Chiquinho,pt POR,MF,Wolves,eng Premier League,24-240,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.00,0.42,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
399,400,Chiquinho,pt POR,"FW,MF",Mallorca,es La Liga,24-240,2000,2,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,0,0,1,0,0,3,0.0,3,0,0,0,0,1,0,0
400,401,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,27-132,1997,6,6,525,5.8,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.3,3,48,6,0.00,0.17,0.17,0.00,0.17,0.01,0.05,0.06,0.01,0.06,8,8,5,3,0,5,8,62.5,3,2,0,2,1,9,14,0
401,402,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,23-008,2001,3,3,219,2.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,15,4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,6,3,1,5,0,3,5,60.0,2,3,0,3,1,7,2,0
402,403,Hamza Choudhury,eng ENG,MF,Leicester City,eng Premier League,27-001,1997,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0
403,404,Andreas Christensen,dk DEN,DF,Barcelona,es La Liga,28-175,1996,1,0,27,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
404,405,Ryan Christie,sct SCO,MF,Bournemouth,eng Premier League,29-223,1995,6,5,382,4.2,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,4,24,13,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09,6,2,1,4,1,1,6,16.7,5,11,3,8,4,10,6,1
405,406,Samuel Chukwueze,ng NGA,FW,Milan,it Serie A,25-133,1999,6,2,177,2.0,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.8,7,6,19,0.00,0.00,0.00,0.00,0.00,0.13,0.28,0.41,0.13,0.41,3,2,1,1,1,1,3,33.3,2,0,0,0,0,3,0,0
406,407,Aaron Ciammaglichella,it ITA,MF,Torino,it Serie A,19-250,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
407,408,Jasper Cillessen,nl NED,GK,Las Palmas,es La Liga,35-163,1989,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0
