,Rank,Player Name,Nation,Position,Squad,Competition,Age,Born,Matches Played,Starts,Minutes,90s,Goals Against,GA_p90,Shots on Target Against,Saves,Save%,Wins,Draws,Losses,Clean Sheets,Clean Sheets%,PK Attempted,PK Allowed,PK Saved,PK Missed,PK Save %,FK Goals Allowed,Corner Kick Goals Allowed,Own Goals Allowed,Post Shot xG,PSxG_pSoT,PSxG-GA,PSxG-GA_p90,Launch Completed >40yd,Launch Attempted,Launck Comp%,Passes except GK,Throw-ins,Passes>40yd %,Pass Length,Goalkick Attempted,GK Launched>40yd %,GK Length,Crosses Faced,Crosses Stopped,Crosses Stop %,Sweep Def Outside Pen Area,Def OPA_p90,Sweep Avg Distance
113,114,Mile Svilar,rs SRB,GK,Roma,it Serie A,25-036,1999,6,6,540,6.0,4,0.67,22,18,86.4,2,3,1,3,50.0,1,1,0,0,0.0,0,0,0,6.5,0.25,+2.5,+0.41,16,62,25.8,177,20,20.3,30.0,41,63.4,49.1,82,1,1.2,1,0.17,12.3
114,115,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,32-155,1992,6,6,494,5.5,5,0.91,15,10,73.3,6,0,0,1,16.7,1,1,0,0,0.0,0,0,0,4.6,0.25,-0.4,-0.08,13,28,46.4,186,31,13.4,27.3,17,17.6,29.9,64,3,4.7,6,1.09,13.9
115,116,Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,34-208,1990,3,3,270,3.0,3,1.00,13,10,76.9,0,3,0,1,33.3,0,0,0,0,,0,0,0,3.1,0.24,+0.1,+0.03,8,25,32.0,78,14,28.2,28.8,11,27.3,26.5,20,1,5.0,3,1.00,17.0
116,117,Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,34-086,1990,3,3,225,2.5,3,1.20,10,7,70.0,2,0,1,0,0.0,0,0,0,0,,0,0,0,2.4,0.24,-0.6,-0.25,13,34,38.2,73,14,35.6,30.8,17,47.1,39.8,50,1,2.0,1,0.40,11.5
117,118,Mark Travers,ie IRL,GK,Bournemouth,eng Premier League,25-137,1999,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,0,0,0,1.2,0.40,+0.2,+0.19,6,12,50.0,16,3,62.5,40.3,2,100.0,68.0,6,0,0.0,2,2.00,16.0
118,119,Stefano Turati,it ITA,GK,Monza,it Serie A,23-027,2001,4,4,360,4.0,7,1.75,18,11,61.1,0,2,2,0,0.0,0,0,0,0,,0,2,0,5.5,0.31,-1.5,-0.37,37,85,43.5,115,10,53.9,37.2,27,85.2,56.5,61,0,0.0,2,0.50,17.5
119,120,Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,36-060,1988,1,1,90,1.0,0,0.00,0,0,,1,0,0,1,100.0,0,0,0,0,,0,0,0,0.0,,0.0,0.00,3,8,37.5,29,4,27.6,28.2,1,0.0,9.0,7,1,14.3,1,1.00,12.3
120,121,Nikola Vasilj,ba BIH,GK,St. Pauli,de Bundesliga,28-305,1995,5,5,450,5.0,6,1.20,23,16,73.9,1,1,3,2,40.0,1,0,1,0,100.0,0,2,0,8.0,0.31,+2.0,+0.40,32,85,37.6,188,19,37.8,35.2,28,50.0,42.4,75,4,5.3,4,0.80,16.7
121,122,Devis Vásquez,co COL,GK,Empoli,it Serie A,26-143,1998,6,6,540,6.0,2,0.33,16,14,87.5,2,4,0,4,66.7,0,0,0,0,,0,1,0,3.1,0.19,+1.1,+0.18,33,105,31.4,165,20,51.5,40.4,21,95.2,64.0,114,8,7.0,2,0.33,9.7
122,123,Bart Verbruggen,nl NED,GK,Brighton,eng Premier League,22-045,2002,4,4,360,4.0,7,1.75,17,10,70.6,0,3,1,1,25.0,2,2,0,0,0.0,1,0,0,7.2,0.33,+0.2,+0.05,14,27,51.9,149,20,17.4,25.1,6,16.7,25.3,22,2,9.1,10,2.50,19.0
123,124,Guglielmo Vicario,it ITA,GK,Tottenham,eng Premier League,27-361,1996,6,6,540,6.0,5,0.83,19,14,73.7,3,1,2,2,33.3,0,0,0,0,,0,1,0,6.8,0.36,+1.8,+0.30,3,16,18.8,212,42,7.5,21.1,13,0.0,15.0,67,8,11.9,15,2.50,17.3
124,125,Iván Villar,es ESP,GK,Celta Vigo,es La Liga,27-085,1997,4,4,360,4.0,9,2.25,18,10,50.0,2,0,2,0,0.0,1,0,1,0,100.0,0,3,2,8.2,0.40,+1.2,+0.30,3,22,13.6,82,15,14.6,24.0,35,28.6,26.9,65,1,1.5,5,1.25,14.8
125,126,Christian Walton,eng ENG,GK,Ipswich Town,eng Premier League,28-328,1995,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,,0,0,0,2.3,0.47,+0.3,+0.33,6,14,42.9,36,7,33.3,30.4,6,33.3,31.3,16,1,6.3,1,1.00,13.8
126,127,Timon Weiner,de GER,GK,Holstein Kiel,de Bundesliga,25-258,1999,5,5,450,5.0,17,3.40,37,21,59.5,0,1,4,0,0.0,2,2,0,0,0.0,1,2,1,12.5,0.30,-3.5,-0.69,30,76,39.5,177,31,39.5,33.2,22,27.3,28.2,89,8,9.0,1,0.20,8.4
127,128,Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,29-340,1994,5,5,450,5.0,10,2.00,33,23,72.7,1,2,2,0,0.0,1,1,0,0,0.0,1,1,0,9.8,0.29,-0.2,-0.05,29,89,32.6,133,29,45.9,38.6,46,60.9,50.7,124,10,8.1,14,2.80,15.4
128,129,Michael Zetterer,de GER,GK,Werder Bremen,de Bundesliga,29-082,1995,5,5,450,5.0,11,2.20,23,12,52.2,2,2,1,1,20.0,0,0,0,0,,0,0,0,9.6,0.42,-1.4,-0.27,16,47,34.0,155,28,24.5,32.5,25,36.0,42.2,76,7,9.2,3,0.60,12.2
